"","Location","TMAX","TMIN","TAVG","AWND","AWDR","PRCP","SNOW","Date"
"405","Sanderson",161,39,"","32","","0","0","2017-11-19"
"406","Sanderson",211,22,"","30","","0","0","2017-11-20"
"407","Sanderson",294,44,"","50","","0","0","2017-11-21"
"408","Sanderson",189,44,"","24","","0","0","2017-11-22"
"409","Sanderson",256,39,"","23","","0","0","2017-11-23"
"410","Sanderson",289,50,"","32","","0","0","2017-11-24"
"411","Sanderson",272,100,"","54","","0","0","2017-11-25"
"412","Sanderson",244,89,"","26","","0","0","2017-11-26"
"413","Sanderson",256,72,"","23","","0","0","2017-11-27"
"414","Sanderson",222,106,"","32","","0","0","2017-11-28"
"415","Sanderson",200,50,"","28","","0","0","2017-11-29"
"416","Sanderson",267,61,"","35","","0","0","2017-11-30"
"417","Sanderson",250,100,"","27","","0","","2017-12-01"
"418","Sanderson",244,111,"","27","","0","","2017-12-02"
"419","Sanderson",244,133,"","27","","0","","2017-12-03"
"420","Sanderson",228,94,"","22","","0","","2017-12-04"
"421","Sanderson",139,94,"","58","","0","","2017-12-05"
"422","Sanderson",94,33,"","34","","188","","2017-12-06"
"423","Sanderson",39,0,"","41","","117","","2017-12-07"
"424","Sanderson",122,-16,"","63","","0","","2017-12-08"
"425","Sanderson",172,50,"","68","","0","","2017-12-09"
"426","San Antonio",317,211,"","30","","0","0","2017-09-30"
"427","San Antonio",322,189,"","14","","0","0","2017-10-01"
"428","San Antonio",328,211,"","25","","0","0","2017-10-02"
"429","San Antonio",311,233,"","30","","53","0","2017-10-03"
"430","San Antonio",317,250,"","36","","64","0","2017-10-04"
"431","San Antonio",328,228,"","21","","0","","2017-10-05"
"432","San Antonio",317,206,"","15","","0","0","2017-10-06"
"433","San Antonio",322,194,"","9","","0","0","2017-10-07"
"434","San Antonio",333,217,"","18","","0","0","2017-10-08"
"435","San Antonio",339,222,"","29","","0","0","2017-10-09"
"436","San Antonio",272,189,"","50","","0","","2017-10-10"
"437","San Antonio",261,178,"","24","","0","","2017-10-11"
"438","San Antonio",311,156,"","9","","0","0","2017-10-12"
"439","San Antonio",322,211,"","16","","0","0","2017-10-13"
"440","San Antonio",333,228,"","22","","0","0","2017-10-14"
"441","San Antonio",278,200,"","40","","0","0","2017-10-15"
"442","San Antonio",267,117,"","38","","0","0","2017-10-16"
"443","San Antonio",272,94,"","10","","0","","2017-10-17"
"444","San Antonio",294,89,"","10","","0","","2017-10-18"
"445","San Antonio",306,139,"","26","","0","0","2017-10-19"
"446","San Antonio",278,206,"","17","","0","","2017-10-20"
"447","San Antonio",333,211,"","32","","0","","2017-10-21"
"448","San Antonio",294,133,"","30","","0","0","2017-10-22"
"449","San Antonio",294,100,"","11","","0","0","2017-10-23"
"450","San Antonio",278,128,"","34","","0","0","2017-10-24"
"451","San Antonio",278,56,"","20","","0","0","2017-10-25"
"452","San Antonio",306,78,"","25","","0","","2017-10-26"
"453","San Antonio",206,100,"","55","","0","","2017-10-27"
"454","San Antonio",200,50,"","29","","0","0","2017-10-28"
"455","San Antonio",244,17,"","17","","0","0","2017-10-29"
"456","San Antonio",283,50,"","18","","0","0","2017-10-30"
"457","San Antonio",194,139,"","35","","53","0","2017-10-31"
"458","San Antonio",289,150,"","17","","0","0","2017-11-01"
"459","San Antonio",317,172,"","17","","0","0","2017-11-02"
"460","San Antonio",322,228,"","19","","0","0","2017-11-03"
